Change ID,Snapshot Date,Inactive Ingredient,Route of Administration,Dosage Form,Maximum Potency per Unit Dose,Maximum Daily Exposure,Maximum Daily Exposure UOM,Status
8510,Q1 2026,STEARYL ALCOHOL,TOPICAL,AEROSOL,0.53 %w/w,,,D
8627,Q1 2026,SULFUR,INTRAVENOUS,INJECTION,NA,,,D
8656,Q1 2026,SULFUROUS ACID,INTRAMUSCULAR,INJECTION,ADJ PH,,,D
8724,Q1 2026,TEA TREE OIL,TOPICAL,SHAMPOO,0.01 %w/w,,,D
8733,Q1 2026,TETRACHLOROETHYLENE,ORAL,"TABLET, DELAYED RELEASE",702.00 mg,,,D
8752,Q1 2026,THYME OIL,TOPICAL,OINTMENT,0.10 %w/w,,,D
8816,Q1 2026,TRIACETIN,ORAL,"CAPSULE, COATED PELLETS",1.21 mg,,,D
8980,Q1 2026,TURPENTINE OIL,RESPIRATORY (INHALATION),LIQUID,NA,,,D
400,Q1 2026,ANHYDROUS DEXTROSE,INTRAVENOUS,"INJECTION, SOLUTION",5.00 %w/v,,,R
400,Q2 2026,ANHYDROUS DEXTROSE,INTRAVENOUS,"INJECTION, SOLUTION",,3187,mg,R
891,Q1 2026,CALCIUM PHOSPHATE,ORAL,"TABLET, FILM COATED",362.00 mg,,,R
891,Q2 2026,CALCIUM PHOSPHATE,ORAL,"TABLET, FILM COATED",,858,mg,R
927,Q1 2026,CALCIUM SULFATE ANHYDROUS,ORAL,"TABLET, EXTENDED RELEASE",250.00 mg,,,R
927,Q2 2026,CALCIUM SULFATE ANHYDROUS,ORAL,"TABLET, EXTENDED RELEASE",,468,mg,R
1594,Q1 2026,D&C RED NO. 27 LAKE,ORAL,TABLET,0.40 mg,,,R
1594,Q2 2026,D&C RED NO. 27 LAKE,ORAL,TABLET,,1,mg,R
1851,Q1 2026,DIETHYL PHTHALATE,ORAL,"CAPSULE, DELAYED RELEASE",12.00 mg,,,R
1851,Q2 2026,DIETHYL PHTHALATE,ORAL,"CAPSULE, DELAYED RELEASE",,15,mg,R
2156,Q1 2026,EGG PHOSPHOLIPIDS,INTRAVENOUS,INJECTION,1.80 %w/v,,,R
2156,Q2 2026,EGG PHOSPHOLIPIDS,INTRAVENOUS,INJECTION,,18000,mg,R
2450,Q1 2026,FD&C RED NO. 40 ALUMINUM LAKE,ORAL,SUSPENSION,2.00 mg/ 5.00 ml,,,R
2450,Q2 2026,FD&C RED NO. 40 ALUMINUM LAKE,ORAL,SUSPENSION,,1,mg,R
2596,Q1 2026,"FILM COATING SOLUTION, AQUEOUS IM-163",ORAL,TABLET,20.00 mg,,,R
2596,Q2 2026,"FILM COATING SOLUTION, AQUEOUS IM-163",ORAL,TABLET,,90,mg,R
2611,Q1 2026,FLAVOR BANANA SA84,ORAL,"POWDER, FOR SUSPENSION",10.00 mg/ 5.00 ml,,,R
2611,Q2 2026,FLAVOR BANANA SA84,ORAL,"POWDER, FOR SUSPENSION",,20,mg,R
